"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
24292,1014,154,210,"8",7,"10","10",10,1,66,"+34.641","5785084","64","12","1:21.057","206.743",1,"Haas F1 Team","American"
24296,1014,8,51,"7",14,"14","14",14,0,66,"+41.803","5792246","66","14","1:21.382","205.917",1,"Alfa Romeo","Swiss"
24298,1014,841,51,"99",18,"16","16",16,0,66,"+47.691","5798134","64","15","1:21.833","204.782",1,"Alfa Romeo","Swiss"
24299,1014,847,3,"63",19,"17","17",17,0,65,"\N","\N","64","17","1:22.382","203.418",11,"Williams","British"
24300,1014,9,3,"88",17,"18","18",18,0,65,"\N","\N","65","19","1:23.202","201.413",11,"Williams","British"
24302,1014,846,1,"4",10,"\N","R",20,0,44,"\N","\N","28","18","1:22.561","202.977",4,"McLaren","British"
24306,1015,1,131,"44",1,"1","1",1,25,78,"1:43:28.437","6208437","9","6","1:16.167","157.721",1,"Mercedes","German"
24307,1015,20,6,"5",4,"2","2",2,18,78,"+2.602","6211039","9","9","1:16.277","157.494",1,"Ferrari","Italian"
24308,1015,822,131,"77",2,"3","3",3,15,78,"+3.162","6211599","65","2","1:15.163","159.828",1,"Mercedes","German"
24309,1015,830,9,"33",3,"4","4",4,12,78,"+5.537","6213974","9","7","1:16.229","157.593",1,"Red Bull","Austrian"
24310,1015,842,9,"10",8,"5","5",5,11,78,"+9.946","6218383","72","1","1:14.279","161.730",1,"Red Bull","Austrian"
24311,1015,832,1,"55",9,"6","6",6,8,78,"+53.454","6261891","32","5","1:15.891","158.295",1,"McLaren","British"
24315,1015,154,210,"8",13,"10","10",10,1,78,"+1:01.034","6269471","41","16","1:16.746","156.531",1,"Haas F1 Team","American"
24316,1015,846,1,"4",12,"11","11",11,0,78,"+1:06.801","6275238","61","13","1:16.413","157.214",1,"McLaren","British"
24317,1015,825,210,"20",5,"14","14",14,0,77,"\N","\N","61","17","1:16.992","156.031",11,"Haas F1 Team","American"
24320,1015,847,3,"63",19,"15","15",15,0,77,"\N","\N","76","18","1:17.038","155.938",11,"Williams","British"
